"X","dn0_lo10","dn0_med","dn0_up90","rn0_lo10","rn0_med","rn0_up90","gamman_lo10","gamman_med","gamman_up90","bioassay_mortality","resistance","NetType","X.1","X.Key.note"
63,0.344851778,0.417802932,0.481160388,0.51379973,0.57153521,0.633799594,1.636043123,1.919769318,2.239446041,0.38,0.62,"PyPBONets",NA,NA
64,0.341328195,0.415127741,0.478919099,0.515884371,0.573909878,0.636653228,1.615513943,1.902277257,2.229549999,0.37,0.63,"PyPBONets",NA,NA
65,0.337496962,0.41286119,0.477072058,0.517600301,0.575917164,0.639737044,1.593434327,1.884583021,2.220229602,0.36,0.64,"PyPBONets",NA,NA
66,0.333136654,0.410829262,0.475219107,0.51931987,0.577712975,0.64322212,1.570524974,1.86424581,2.21067281,0.35,0.65,"PyPBONets",NA,NA
67,0.329875682,0.408546081,0.473170083,0.521219202,0.579726621,0.64581092,1.547777043,1.84461129,2.199297319,0.34,0.66,"PyPBONets",NA,NA
68,0.325930303,0.405650806,0.471083286,0.523151146,0.582273538,0.648922614,1.524965882,1.826492407,2.186820741,0.33,0.67,"PyPBONets",NA,NA
69,0.322960894,0.403119856,0.468506333,0.525533473,0.584493957,0.65124936,1.502109774,1.808239593,2.177712594,0.32,0.68,"PyPBONets",NA,NA
70,0.317999806,0.400007396,0.466695244,0.527205503,0.587216561,0.655106968,1.476835157,1.78882671,2.163629536,0.31,0.69,"PyPBONets",NA,NA
71,0.314347838,0.396906148,0.464457637,0.529268655,0.589920485,0.657922262,1.455264258,1.770636529,2.150982046,0.3,0.7,"PyPBONets",NA,NA
72,0.310132636,0.392839969,0.462362739,0.531197541,0.593451998,0.661145429,1.434708115,1.750904835,2.140469009,0.29,0.71,"PyPBONets",NA,NA
73,0.306027329,0.389893397,0.459009318,0.534279713,0.596001145,0.664256618,1.411694947,1.729823138,2.126448312,0.28,0.72,"PyPBONets",NA,NA
74,0.301415604,0.386267453,0.456613924,0.536477097,0.599126349,0.667718194,1.390554206,1.707789692,2.114468632,0.27,0.73,"PyPBONets",NA,NA
75,0.297158054,0.381861812,0.453546196,0.539286056,0.602905674,0.670881292,1.368287014,1.685125427,2.101303535,0.26,0.74,"PyPBONets",NA,NA
